dataset,id,sent_i,n_words,n_class_hits,n_attr_hits,n_rel_endpoint_hits,n_tokens_spacy
kaiser,OnlineTutoringSystem,10,21,4,3,4,14
kaiser,OnlineTutoringSystem,11,19,4,2,4,28
kaiser,OnlineTutoringSystem,12,18,3,2,3,30
kaiser,OnlineTutoringSystem,13,13,4,2,4,25
kaiser,OnlineTutoringSystem,14,24,2,2,2,0
kaiser,OnlineTutoringSystem,15,25,4,1,4,0
kaiser,OnlineTutoringSystem,16,20,3,2,3,0
kaiser,PizzaDeliveryWithEntertainment,0,21,2,3,2,26
kaiser,PizzaDeliveryWithEntertainment,1,23,0,1,0,25
kaiser,PizzaDeliveryWithEntertainment,2,15,0,0,0,18
kaiser,PizzaDeliveryWithEntertainment,3,35,2,4,2,41
kaiser,PizzaDeliveryWithEntertainment,4,38,4,4,4,47
kaiser,PizzaDeliveryWithEntertainment,5,38,0,5,0,41
kaiser,PizzaDeliveryWithEntertainment,6,7,1,1,1,9
kaiser,PizzaDeliveryWithEntertainment,7,24,2,1,2,29
kaiser,PizzaDeliveryWithEntertainment,8,22,1,1,1,24
kaiser,PizzaDeliveryWithEntertainment,9,10,3,2,3,11
kaiser,PizzaDeliveryWithEntertainment,10,19,1,9,1,26
kaiser,PizzaDeliveryWithEntertainment,11,9,2,2,2,10
kaiser,PizzaDeliveryWithEntertainment,12,29,0,5,0,43
kaiser,PizzaDeliveryWithEntertainment,13,31,1,1,1,34
kaiser,PizzaDeliveryWithEntertainment,14,42,1,2,1,49
kaiser,PizzaDeliveryWithEntertainment,15,11,1,1,1,14
kaiser,PizzaDeliveryWithEntertainment,16,9,0,2,0,11
kaiser,PizzaDeliveryWithEntertainment,17,7,0,0,0,8
kaiser,PizzaDeliveryWithEntertainment,18,22,1,2,1,24
kaiser,PizzaDeliveryWithEntertainment,19,22,2,5,2,24
kaiser,PizzaDeliveryWithEntertainment,20,9,1,1,1,11
kaiser,PizzaDeliveryWithEntertainment,21,12,2,4,2,15
kaiser,PizzaDeliveryWithEntertainment,22,9,2,2,2,10
kaiser,PizzaDeliveryWithEntertainment,23,44,5,6,5,51
kaiser,PizzaDeliveryWithEntertainment,24,12,1,2,1,15
kaiser,PizzaDeliveryWithEntertainment,25,24,1,4,1,28
kaiser,PizzaDeliveryWithEntertainment,26,9,3,2,3,10
kaiser,PizzaDeliveryWithEntertainment,27,14,3,0,3,9
kaiser,PizzaDeliveryWithEntertainment,28,23,3,1,3,7
kaiser,ProjectManagement,0,10,2,0,2,11
kaiser,ProjectManagement,1,11,1,0,1,12
kaiser,ProjectManagement,2,7,2,0,2,8
kaiser,ProjectManagement,3,21,4,0,4,25
kaiser,ProjectManagement,4,13,3,0,3,16
kaiser,ProjectManagement,5,16,1,0,1,19
kaiser,ProjectManagement,6,12,2,0,2,16
kaiser,ProjectManagement,7,20,0,0,0,21
kaiser,ProjectManagement,8,36,4,0,5,40
kaiser,ProjectManagement,9,21,1,0,2,26
kaiser,School,0,5,1,1,1,6
kaiser,School,1,7,0,0,0,8
kaiser,School,2,14,0,2,0,15
kaiser,School,3,6,0,1,0,8
kaiser,School,4,16,2,0,2,18
kaiser,School,5,11,0,1,0,12
kaiser,School,6,13,1,0,1,15
kaiser,School,7,17,2,0,2,20
kaiser,School,8,18,1,0,1,20
kaiser,School,9,28,1,3,1,31
kaiser,School,10,16,2,1,2,20
kaiser,School,11,9,3,0,3,10
kaiser,School,12,12,2,0,2,13
kaiser,SellingGoods,0,19,0,0,0,22
kaiser,SellingGoods,1,25,0,0,0,31
kaiser,SellingGoods,2,14,0,0,0,18
kaiser,SellingGoods,3,11,0,0,0,13
kaiser,SellingGoods,4,19,0,1,0,22
kaiser,SellingGoods,5,13,1,2,1,16
kaiser,SellingGoods,6,24,1,1,1,26
kaiser,SellingGoods,7,22,3,3,3,26
kaiser,SellingGoods,8,31,2,2,2,33
kaiser,SellingGoods,9,12,0,0,0,14
kaiser,SellingGoods,10,23,0,0,0,26
kaiser,SellingGoods,11,26,0,1,0,29
kaiser,SellingGoods,12,18,0,0,0,21
kaiser,SellingGoods,13,31,2,1,2,36
kaiser,SellingGoods,14,37,1,1,1,41
kaiser,SellingGoods,15,22,0,0,0,24
kaiser,SellingGoods,16,13,0,0,0,16
kaiser,SellingGoods,17,12,0,0,0,13
kaiser,SellingGoods,18,22,1,1,1,24
kaiser,SellingGoods,19,16,0,0,0,18
kaiser,SellingGoods,20,21,2,1,2,23
kaiser,SellingGoods,21,8,1,1,1,10
kaiser,SellingGoods,22,19,1,1,1,24
kaiser,SellingGoods,23,16,1,1,1,18
kaiser,SellingGoods,24,26,1,1,1,29
kaiser,SellingGoods,25,25,2,2,2,26
kaiser,SellingGoods,26,24,2,2,2,28
kaiser,SellingGoods,27,16,1,0,1,18
kaiser,Sightseeing,0,5,1,0,1,6
kaiser,Sightseeing,1,20,2,5,2,22
kaiser,Sightseeing,2,20,3,3,3,22
kaiser,Sightseeing,3,32,3,2,3,35
kaiser,Sightseeing,4,9,3,1,3,11
kaiser,Sightseeing,5,10,1,0,1,11
kaiser,SmartHomeAutomationSystem,0,16,2,0,2,19
kaiser,SmartHomeAutomationSystem,1,28,5,1,5,46
kaiser,SmartHomeAutomationSystem,2,8,1,0,1,10
kaiser,SmartHomeAutomationSystem,3,9,3,1,3,23
kaiser,SmartHomeAutomationSystem,4,20,2,0,2,22
kaiser,SmartHomeAutomationSystem,5,18,2,3,2,42
kaiser,SmartHomeAutomationSystem,6,9,1,0,1,20
kaiser,SmartHomeAutomationSystem,7,20,2,3,2,21
kaiser,SmartHomeAutomationSystem,8,4,0,0,0,10
kaiser,SmartHomeAutomationSystem,9,18,6,0,6,23
kaiser,SmartHomeAutomationSystem,10,20,2,0,2,18
kaiser,SmartHomeAutomationSystem,11,9,1,1,1,9
kaiser,SmartHomeAutomationSystem,12,18,4,0,4,46
kaiser,SmartHomeAutomationSystem,13,14,3,0,3,7
kaiser,SmartHomeAutomationSystem,14,8,2,0,2,20
kaiser,SmartHomeAutomationSystem,15,36,3,2,3,12
kaiser,SmartHomeAutomationSystem,16,6,0,0,0,0
kaiser,SmartHomeAutomationSystem,17,18,1,1,1,0
kaiser,SmartHomeAutomationSystem,18,11,1,2,1,0
kaiser,Sober,0,17,1,0,1,21
kaiser,Sober,1,32,1,0,1,35
kaiser,Sober,2,13,2,1,2,16
kaiser,Sober,3,12,4,1,4,16
kaiser,Sober,4,29,2,4,2,33
kaiser,Sober,5,17,2,0,2,20
kaiser,Sober,6,28,2,4,2,32
kaiser,Sober,7,38,1,1,1,43
kaiser,Sober,8,62,3,10,3,80
kaiser,Sober,9,12,1,2,1,15
kaiser,Sober,10,13,3,1,3,16
kaiser,Sober,11,19,0,0,0,23
kaiser,Sober,12,26,2,1,2,30
kaiser,Sober,13,25,4,1,4,29
kaiser,Sober,14,42,2,6,2,54
kaiser,Sober,15,12,1,2,1,15
kaiser,Sober,16,16,1,1,1,21
kaiser,Sober,17,15,3,3,3,18
kaiser,StudentAppointment,0,22,2,0,2,23
kaiser,StudentAppointment,1,32,4,0,4,34
kaiser,StudentAppointment,2,21,3,0,3,22
kaiser,StudentAppointment,3,15,2,0,2,16
kaiser,StudentAppointment,4,22,4,0,4,26
kaiser,TeamSportsScoutingSystem,0,25,5,0,5,28
kaiser,TeamSportsScoutingSystem,1,26,3,0,3,55
kaiser,TeamSportsScoutingSystem,2,19,1,2,1,20
kaiser,TeamSportsScoutingSystem,3,19,1,0,1,26
kaiser,TeamSportsScoutingSystem,4,25,4,1,4,55
kaiser,TeamSportsScoutingSystem,5,32,5,2,5,29
kaiser,TeamSportsScoutingSystem,6,14,1,1,1,33
kaiser,TeamSportsScoutingSystem,7,27,6,2,6,23
kaiser,TeamSportsScoutingSystem,8,30,4,1,4,0
kaiser,TeamSportsScoutingSystem,9,21,5,1,5,0
kaiser,TileOGame,0,22,3,0,3,24
kaiser,TileOGame,1,16,1,0,1,18
kaiser,TileOGame,2,14,2,1,2,15
kaiser,TileOGame,3,21,3,3,3,22
kaiser,TileOGame,4,7,0,2,0,9
kaiser,TileOGame,5,14,1,1,1,15
kaiser,TileOGame,6,14,2,2,2,15
kaiser,TileOGame,7,19,2,0,2,23
kaiser,TileOGame,8,11,1,0,1,12
kaiser,TileOGame,9,22,4,2,4,27
kaiser,TileOGame,10,81,11,7,11,98
kaiser,TileOGame,11,22,2,1,2,31
kaiser,TileOGame,12,18,4,0,4,19
kaiser,TileOGame,13,28,3,5,3,30
kaiser,TileOGame,14,17,3,0,3,19
kaiser,TileOGame,15,29,5,4,5,31
kaiser,TileOGame,16,21,3,4,3,23
kaiser,TileOGame,17,17,3,2,3,18
kaiser,TransportCompany,0,14,0,0,0,15
kaiser,TransportCompany,1,19,0,2,0,21
kaiser,TransportCompany,2,25,1,0,1,31
kaiser,TransportCompany,3,13,0,0,0,14
kaiser,TransportCompany,4,17,0,1,0,18
kaiser,TransportCompany,5,9,0,3,0,10
kaiser,TransportCompany,6,8,0,0,0,10
kaiser,TransportCompany,7,9,1,2,1,10
kaiser,TransportCompany,8,13,0,0,0,15
kaiser,TransportCompany,9,18,0,1,0,23
kaiser,TransportCompany,10,13,0,3,0,14
kaiser,TransportCompany,11,14,1,1,1,16
kaiser,TransportCompany,12,33,4,5,4,40
kaiser,TransportCompany,13,7,1,0,1,8
kaiser,TransportCompany,14,19,2,0,2,21
kaiser,TransportCompany,15,15,3,2,3,17
kaiser,TransportCompany,16,14,3,0,3,15
kaiser,TransportCompany,17,28,2,1,2,30
kaiser,TransportCompany,18,17,3,0,3,18
kaiser,TransportCompany,19,22,2,3,2,26
kaiser,TransportCompany,20,21,3,2,3,22
kaiser,TreatmentPlans,0,7,0,0,0,9
kaiser,TreatmentPlans,1,20,2,1,2,36
kaiser,TreatmentPlans,2,11,0,0,0,12
kaiser,TreatmentPlans,3,11,1,0,1,13
kaiser,TreatmentPlans,4,10,3,0,3,12
kaiser,TreatmentPlans,5,11,1,0,1,13
kaiser,TreatmentPlans,6,14,4,1,4,17
kaiser,TreatmentPlans,7,9,3,0,3,10
kaiser,TreatmentPlans,8,23,5,0,5,25
kaiser,TreatmentPlans,9,17,4,0,4,18
kaiser,TreatmentPlans,10,25,4,0,4,27
kaiser,TreatmentPlans,11,32,5,0,5,36
kaiser,TreatmentPlans,12,29,3,0,3,32
kaiser,TruckLogistics,0,11,0,2,0,12
kaiser,TruckLogistics,1,6,1,1,1,7
kaiser,TruckLogistics,2,10,0,0,0,13
kaiser,TruckLogistics,3,6,1,2,1,7
kaiser,TruckLogistics,4,15,1,2,1,17
kaiser,TruckLogistics,5,10,0,0,0,12
kaiser,TruckLogistics,6,6,0,0,0,7
kaiser,TruckLogistics,7,15,0,0,0,16
kaiser,TruckLogistics,8,19,2,1,2,21
kaiser,TruckLogistics,9,16,1,0,1,18
kaiser,TruckLogistics,10,14,1,0,1,16
kaiser,University,0,13,0,1,0,15
kaiser,University,1,7,2,1,2,8
kaiser,University,2,7,1,2,1,9
kaiser,University,3,14,2,1,2,17
kaiser,University,4,7,0,1,0,8
kaiser,University,5,12,0,3,0,15
kaiser,University,6,9,2,0,2,11
kaiser,University,7,10,2,0,2,13
kaiser,University,8,9,1,2,1,10
kaiser,University,9,26,0,5,0,30
kaiser,University,10,4,0,0,0,5
kaiser,University,11,9,0,0,0,12
kaiser,University,12,14,0,3,0,18
kaiser,eHome2020,0,22,0,0,0,24
kaiser,eHome2020,1,16,0,0,0,20
kaiser,eHome2020,2,14,0,2,0,18
kaiser,eHome2020,3,23,0,1,0,4
kaiser,eHome2020,4,10,0,1,0,22
kaiser,eHome2020,5,23,0,1,0,14
kaiser,eHome2020,6,11,1,0,1,29
kaiser,eHome2020,7,23,2,2,2,13
kaiser,eHome2020,8,9,1,1,1,24
kaiser,eHome2020,9,19,1,1,1,11
kaiser,eHome2020,10,30,2,4,2,24
kaiser,eHome2020,11,11,0,0,0,38
kaiser,eHome2020,12,14,2,1,2,12
kaiser,eHome2020,13,34,2,0,2,16
kaiser,eHome2020,14,9,1,3,1,42
kaiser,eHome2020,15,10,1,2,1,13
kaiser,eHome2020,16,11,0,2,0,11
kaiser,eHome2020,17,12,3,1,4,31
kaiser,eHome2020,18,6,0,0,0,7
kaiser,eHome2020,19,8,2,1,2,9
kaiser,eHome2020,20,12,1,1,1,13
kaiser,eHome2020,21,6,0,1,0,12
kaiser,eHome2020,22,2,1,0,1,18
kaiser,eHome2020,23,16,1,0,1,15
kaiser,eHome2020,24,14,0,2,0,15
kaiser,eHome2020,25,13,1,1,1,33
kaiser,eHome2020,26,29,0,1,0,0
reference,LabTracker,0,27,2,0,2,21
reference,LabTracker,1,12,0,0,0,11
reference,LabTracker,2,27,2,0,2,14
reference,LabTracker,3,17,1,0,1,31
reference,LabTracker,4,12,2,0,2,19
reference,LabTracker,5,27,2,0,2,14
reference,LabTracker,6,19,2,0,2,33
reference,LabTracker,7,19,1,0,1,21
reference,LabTracker,8,18,1,0,1,20
reference,LabTracker,9,17,2,0,2,20
reference,LabTracker,10,20,2,0,2,18
reference,LabTracker,11,11,2,0,2,23
reference,LabTracker,12,14,0,0,0,12
reference,LabTracker,13,8,1,0,1,16
reference,LabTracker,14,35,1,0,1,9
reference,LabTracker,15,23,2,0,2,38
reference,LabTracker,16,11,0,0,0,24
reference,LabTracker,17,11,1,0,1,15
reference,LabTracker,18,22,3,0,3,12
reference,LabTracker,19,17,2,0,2,25
reference,LabTracker,20,29,2,0,2,19
reference,LabTracker,21,21,0,0,0,36
reference,LabTracker,22,22,5,0,5,25
reference,LabTracker,23,17,2,0,2,24
reference,LabTracker,24,30,2,0,2,19
reference,LabTracker,25,26,1,0,1,34
reference,LabTracker,26,9,2,0,2,28
reference,LabTracker,27,13,0,0,0,10
reference,LabTracker,28,15,2,0,2,14
reference,LabTracker,29,22,1,0,1,16
reference,CelO,0,16,0,0,0,17
reference,CelO,1,13,0,0,0,14
reference,CelO,2,10,1,0,1,11
reference,CelO,3,15,2,0,2,18
reference,CelO,4,27,1,8,1,34
reference,CelO,5,33,3,0,3,39
reference,CelO,6,24,2,4,2,27
reference,CelO,7,26,2,2,2,28
reference,CelO,8,19,1,3,1,20
reference,CelO,9,13,2,0,2,15
reference,CelO,10,7,2,0,2,9
reference,CelO,11,35,1,3,1,39
reference,CelO,12,21,2,0,2,26
reference,CelO,13,33,3,1,3,35
reference,CelO,14,15,2,0,2,18
reference,CelO,15,14,1,0,1,16
reference,CelO,16,27,3,0,3,31
reference,CelO,17,20,3,0,3,22
reference,CelO,18,30,3,0,3,33
reference,CelO,19,14,2,0,2,15
reference,CelO,20,19,3,0,3,21
reference,CelO,21,27,2,0,2,29
reference,CelO,22,20,3,0,3,22
reference,TSS,0,25,5,0,5,28
reference,TSS,1,26,3,0,3,54
reference,TSS,2,19,1,2,1,19
reference,TSS,3,18,1,0,1,26
reference,TSS,4,25,4,1,4,54
reference,TSS,5,32,5,2,5,29
reference,TSS,6,14,1,0,1,33
reference,TSS,7,27,6,1,6,23
reference,TSS,8,30,4,1,4,0
reference,TSS,9,21,5,1,5,0
reference,SHAS,0,16,3,0,3,19
reference,SHAS,1,28,5,0,5,46
reference,SHAS,2,8,1,0,1,10
reference,SHAS,3,9,3,1,3,22
reference,SHAS,4,20,3,0,3,22
reference,SHAS,5,18,3,3,3,42
reference,SHAS,6,9,1,0,1,19
reference,SHAS,7,20,2,3,2,21
reference,SHAS,8,4,0,0,0,10
reference,SHAS,9,18,6,0,6,23
reference,SHAS,10,20,2,0,2,18
reference,SHAS,11,9,1,1,1,9
reference,SHAS,12,18,4,0,3,43
reference,SHAS,13,14,3,0,2,7
reference,SHAS,14,8,2,0,2,20
reference,SHAS,15,36,3,2,3,12
reference,SHAS,16,6,0,0,0,0
reference,SHAS,17,18,1,1,1,0
reference,SHAS,18,11,2,2,2,0
reference,OTS,0,16,3,0,3,17
reference,OTS,1,13,0,4,0,16
reference,OTS,2,12,2,1,2,62
reference,OTS,3,12,0,1,0,18
reference,OTS,4,26,3,5,3,37
reference,OTS,5,11,2,1,2,15
reference,OTS,6,7,0,0,0,16
reference,OTS,7,34,4,4,4,23
reference,OTS,8,14,3,4,3,22
reference,OTS,9,15,4,2,4,22
reference,OTS,10,21,4,3,4,14
reference,OTS,11,19,4,2,4,27
reference,OTS,12,18,3,2,3,29
reference,OTS,13,13,4,2,4,0
reference,OTS,14,24,2,2,2,0
reference,OTS,15,25,4,1,4,0
reference,Block,0,30,6,0,6,31
reference,Block,1,8,2,1,2,10
reference,Block,2,10,2,1,2,11
reference,Block,3,26,2,1,2,27
reference,Block,4,7,2,0,2,8
reference,Block,5,12,4,1,4,13
reference,Block,6,11,3,1,3,12
reference,Block,7,22,3,2,3,23
reference,Block,8,10,2,0,2,11
reference,Block,9,15,2,2,2,16
reference,Block,10,11,3,2,3,13
reference,Block,11,11,2,2,2,12
reference,Block,12,39,2,3,2,40
reference,Block,13,31,3,3,3,33
reference,Block,14,21,3,3,3,22
reference,Block,15,31,4,6,4,33
reference,Block,16,20,2,2,2,24
reference,Block,17,16,2,1,2,3
reference,Block,18,29,4,2,4,15
reference,Block,19,20,2,2,2,31
reference,Block,20,17,2,2,2,21
reference,Block,21,26,3,3,3,18
reference,Block,22,11,1,3,1,27
reference,Block,23,22,1,1,1,12
reference,Block,24,23,3,2,3,23
reference,Block,25,14,3,2,3,27
reference,Block,26,19,2,2,2,16
reference,Block,27,8,1,1,1,23
reference,Block,28,32,5,4,5,9
reference,Block,29,17,3,2,3,34
reference,Block,30,9,1,0,1,19
reference,Block,31,15,3,1,3,10
reference,Block,32,23,3,0,3,16
reference,Block,33,7,2,2,2,25
reference,Block,34,16,4,1,4,8
reference,Block,35,12,1,0,1,17
reference,Block,36,20,2,0,2,13
reference,TileO,0,22,3,0,3,24
reference,TileO,1,16,1,0,1,18
reference,TileO,2,14,2,0,2,15
reference,TileO,3,21,3,0,3,22
reference,TileO,4,7,0,0,0,8
reference,TileO,5,14,1,0,1,15
reference,TileO,6,14,2,0,2,15
reference,TileO,7,19,2,0,2,23
reference,TileO,8,11,1,0,1,12
reference,TileO,9,22,4,0,4,26
reference,TileO,10,81,11,0,11,97
reference,TileO,11,22,2,0,2,31
reference,TileO,12,18,4,0,4,19
reference,TileO,13,28,3,0,3,30
reference,TileO,14,17,3,0,3,19
reference,TileO,15,29,5,0,5,31
reference,TileO,16,21,3,0,3,23
reference,TileO,17,17,3,0,3,18
reference,HBMS,0,18,3,0,3,7
reference,HBMS,1,11,2,0,2,14
reference,HBMS,2,10,1,0,1,14
reference,HBMS,3,9,0,0,0,25
reference,HBMS,4,27,1,0,1,69
reference,HBMS,5,11,1,0,1,31
reference,HBMS,6,15,2,0,2,55
reference,HBMS,7,29,4,0,4,31
reference,HBMS,8,17,2,0,2,17
reference,HBMS,9,33,4,0,4,37
reference,HBMS,10,28,4,0,4,14
reference,HBMS,11,15,3,0,3,27
reference,HBMS,12,10,1,0,1,23
reference,HBMS,13,19,2,0,2,15
reference,HBMS,14,13,2,0,2,20
reference,HBMS,15,24,2,0,2,31
reference,HBMS,16,19,2,0,2,24
reference,HBMS,17,14,3,0,3,10
reference,HBMS,18,18,2,0,2,17
reference,HBMS,19,29,2,0,2,34
reference,HBMS,20,22,3,0,3,20
reference,HBMS,21,9,2,0,2,0
reference,HBMS,22,15,3,0,3,0
reference,HBMS,23,30,3,0,3,0
reference,HBMS,24,18,3,0,3,0
data_source_3,AirTravel,0,16,0,6,0,20
data_source_3,AirTravel,1,14,1,3,1,17
data_source_3,AirTravel,2,15,1,2,1,17
data_source_3,AirTravel,3,8,1,0,1,9
data_source_3,AirTravel,4,17,2,4,2,20
data_source_3,AirTravel,5,10,0,1,0,13
data_source_3,AirTravel,6,12,1,0,1,13
data_source_3,AirTravel,7,10,0,2,0,12
data_source_3,AirTravel,8,8,2,1,2,9
data_source_3,AirTravel,9,24,1,1,1,27
data_source_3,AirTravel,10,8,3,2,3,10
data_source_3,AirTravel,11,12,1,1,1,15
data_source_3,AirTravel,12,8,2,1,2,9
data_source_3,AirTravel,13,21,2,3,2,24
data_source_3,AirTravel,14,11,0,3,0,15
data_source_3,AirTravel,15,7,1,1,1,8
data_source_3,AirTravel,16,18,1,0,1,21
data_source_3,AirTravel,17,11,0,3,0,14
data_source_3,AirTravel,18,7,1,0,1,8
data_source_3,AirTravel,19,10,2,1,2,11
data_source_3,AlphaInsurance,0,16,1,1,1,18
data_source_3,AlphaInsurance,1,18,3,0,3,20
data_source_3,AlphaInsurance,2,31,3,0,3,35
data_source_3,AlphaInsurance,3,52,5,2,5,57
data_source_3,AlphaInsurance,4,34,3,1,3,37
data_source_3,AlphaInsurance,5,24,2,0,2,13
data_source_3,AlphaInsurance,6,35,2,4,2,16
data_source_3,AlphaInsurance,7,14,4,1,4,41
data_source_3,AlphaInsurance,8,11,1,0,1,16
data_source_3,AlphaInsurance,9,13,1,1,1,28
data_source_3,AlphaInsurance,10,20,1,3,1,22
data_source_3,AlphaInsurance,11,17,2,0,2,19
data_source_3,AlphaInsurance,12,18,2,3,2,22
data_source_3,AlphaInsurance,13,20,2,2,2,23
data_source_3,AlphaInsurance,14,22,2,3,2,24
data_source_3,BankAccount,0,8,1,0,1,9
data_source_3,BankAccount,1,10,0,0,0,12
data_source_3,BankAccount,2,7,1,1,1,8
data_source_3,BankAccount,3,14,1,3,1,15
data_source_3,BankAccount,4,8,1,1,1,9
data_source_3,BankAccount,5,11,1,0,1,12
data_source_3,BankAccount,6,12,3,1,3,13
data_source_3,BankAccount,7,12,1,0,1,14
data_source_3,BankAccount,8,17,1,3,1,18
data_source_3,BankAccount,9,10,0,2,0,11
data_source_3,Boeing,0,6,1,0,1,8
data_source_3,Boeing,1,30,1,0,1,36
data_source_3,Boeing,2,16,0,0,0,20
data_source_3,Boeing,3,23,2,1,2,25
data_source_3,Boeing,4,16,1,2,1,19
data_source_3,Boeing,5,28,3,6,3,35
data_source_3,Boeing,6,8,1,1,1,9
data_source_3,Boeing,7,9,1,1,1,10
data_source_3,Boeing,8,25,0,0,0,29
data_source_3,Boeing,9,19,1,0,1,22
data_source_3,Boeing,10,34,1,0,1,37
data_source_3,BuildingManagement,0,30,2,5,3,31
data_source_3,BuildingManagement,1,38,2,6,4,49
data_source_3,BuildingManagement,2,6,1,1,1,7
data_source_3,BuildingManagement,3,22,2,3,2,25
data_source_3,BuildingManagement,4,13,0,1,0,26
data_source_3,BuildingManagement,5,11,2,0,2,21
data_source_3,BuildingManagement,6,18,1,2,1,9
data_source_3,BuildingManagement,7,7,0,2,0,23
data_source_3,BuildingManagement,8,21,3,4,3,22
data_source_3,BuildingManagement,9,20,1,3,1,17
data_source_3,BuildingManagement,10,15,4,0,4,24
data_source_3,BuildingManagement,11,22,0,1,0,22
data_source_3,BuildingManagement,12,18,1,0,1,20
data_source_3,BuildingManagement,13,18,1,1,1,5
data_source_3,BuildingManagement,14,4,0,0,0,13
data_source_3,BuildingManagement,15,12,1,3,1,13
data_source_3,BuildingManagement,16,11,1,0,1,11
data_source_3,BuildingManagement,17,10,0,0,1,9
data_source_3,BuildingManagement,18,8,0,0,0,14
data_source_3,BuildingManagement,19,12,0,1,0,19
data_source_3,BuildingManagement,20,16,0,1,0,0
data_source_3,BusTransportationManagementSystem,0,25,1,0,1,31
data_source_3,BusTransportationManagementSystem,1,18,1,2,1,19
data_source_3,BusTransportationManagementSystem,2,25,2,3,2,27
data_source_3,BusTransportationManagementSystem,3,23,2,3,2,26
data_source_3,BusTransportationManagementSystem,4,13,0,1,0,15
data_source_3,BusTransportationManagementSystem,5,10,1,0,1,11
data_source_3,BusTransportationManagementSystem,6,20,2,1,2,21
data_source_3,BusTransportationManagementSystem,7,17,2,1,2,20
data_source_3,BusTransportationManagementSystem,8,15,1,1,1,19
data_source_3,BusTransportationManagementSystem,9,18,2,2,2,19
data_source_3,BusTransportationManagementSystem,10,25,2,1,2,27
data_source_3,BusTransportationManagementSystem,11,16,2,0,2,18
data_source_3,BusTransportationManagementSystem,12,24,1,0,1,26
data_source_3,BusTransportationManagementSystem,13,22,2,6,2,24
data_source_3,BusTransportationManagementSystem,14,19,3,0,3,23
data_source_3,BusTransportationManagementSystem,15,31,2,3,2,36
data_source_3,BusTransportationManagementSystem,16,24,2,4,2,28
data_source_3,CardGameApp,0,14,2,0,2,15
data_source_3,CardGameApp,1,13,0,0,0,14
data_source_3,CardGameApp,2,27,2,0,2,31
data_source_3,CardGameApp,3,8,1,0,1,9
data_source_3,CardGameApp,4,15,1,0,1,18
data_source_3,CardGameApp,5,11,0,0,0,15
data_source_3,CardGameApp,6,20,1,0,1,22
data_source_3,CardGameApp,7,12,2,1,2,13
data_source_3,CardGameApp,8,12,2,1,2,14
data_source_3,CardGameApp,9,16,2,1,2,19
data_source_3,CardGameApp,10,9,2,1,2,12
data_source_3,CardGameApp,11,14,0,1,0,16
data_source_3,CelO,0,19,0,0,0,21
data_source_3,CelO,1,13,0,0,0,14
data_source_3,CelO,2,10,1,0,1,12
data_source_3,CelO,3,15,2,0,2,18
data_source_3,CelO,4,27,1,8,1,34
data_source_3,CelO,5,33,3,0,3,39
data_source_3,CelO,6,24,2,4,2,27
data_source_3,CelO,7,26,2,2,2,28
data_source_3,CelO,8,19,1,3,1,20
data_source_3,CelO,9,13,2,0,2,15
data_source_3,CelO,10,7,2,0,2,10
data_source_3,CelO,11,35,1,3,1,39
data_source_3,CelO,12,21,2,0,2,26
data_source_3,CelO,13,33,3,1,3,36
data_source_3,CelO,14,15,2,0,2,18
data_source_3,CelO,15,14,1,0,1,16
data_source_3,CelO,16,27,3,0,3,32
data_source_3,CelO,17,20,3,0,3,22
data_source_3,CelO,18,30,3,0,3,33
data_source_3,CelO,19,14,2,0,2,15
data_source_3,CelO,20,19,3,0,3,21
data_source_3,CelO,21,27,2,0,2,29
data_source_3,CelO,22,20,3,0,3,22
data_source_3,ClothingCompany,0,23,0,0,0,27
data_source_3,ClothingCompany,1,7,0,0,0,8
data_source_3,ClothingCompany,2,24,1,0,1,30
data_source_3,ClothingCompany,3,12,0,4,0,15
data_source_3,ClothingCompany,4,12,2,0,2,13
data_source_3,ClothingCompany,5,40,2,6,2,45
data_source_3,ClothingCompany,6,18,2,0,2,20
data_source_3,ClothingCompany,7,22,0,3,0,27
data_source_3,ClothingCompany,8,8,2,0,2,9
data_source_3,ClothingCompany,9,19,1,4,1,24
data_source_3,ClothingCompany,10,8,0,0,0,9
data_source_3,ClothingCompany,11,11,2,1,2,12
data_source_3,ClothingCompany,12,14,1,4,1,17
data_source_3,Cruise,0,16,2,3,2,18
data_source_3,Cruise,1,17,1,6,1,18
data_source_3,Cruise,2,16,1,3,1,19
data_source_3,Cruise,3,24,2,3,2,26
data_source_3,Cruise,4,9,1,0,1,13
data_source_3,Cruise,5,21,1,2,1,25
data_source_3,Cruise,6,8,1,0,1,10
data_source_3,Cruise,7,8,3,1,3,9
data_source_3,Cruise,8,11,0,3,0,12
data_source_3,Cruise,9,9,2,2,2,11
data_source_3,Cruise,10,24,2,3,2,27
data_source_3,Cruise,11,17,2,3,2,21
data_source_3,Cruise,12,13,2,1,2,15
data_source_3,Cruise,13,7,1,1,1,8
data_source_3,Cruise,14,7,2,1,2,8
data_source_3,Cruise,15,14,3,2,3,16
data_source_3,DestroyBlockGame,0,32,6,0,6,34
data_source_3,DestroyBlockGame,1,8,2,1,2,3
data_source_3,DestroyBlockGame,2,10,3,1,3,7
data_source_3,DestroyBlockGame,3,26,3,1,3,11
data_source_3,DestroyBlockGame,4,7,2,0,2,27
data_source_3,DestroyBlockGame,5,12,4,1,4,9
data_source_3,DestroyBlockGame,6,11,3,1,3,13
data_source_3,DestroyBlockGame,7,22,3,2,3,12
